Name,Component,Side,Centre X,Centre Y,Rotation
D3,1N4148WS-7-F,Top,-52.4,12.6,0
D4,1N4148WS-7-F,Top,-71.58,14.7,270
D5,1N4148WS-7-F,Top,-71.6,9,270
CONN3,3WAY_SIL,Top,-87.6,2.35,180
CONN4,4waysil,Top,-77.85,-45.45,0
CONN1,24PinJSTCPT,Top,-99.7,-36.65,270
L1,7447709470,Top,-8.1,-16.4,0
J1,5000751517,Top,-35.7,-38.15,0
IC1,ATSAM3X/AAU,Top,-58.2,-16,0
C1,C-USC0805,Top,-13,-4.5,180
C2,C-USC0805,Top,-42.8,-19.1,0
C4,C-USC0805,Top,-45.1,-19,0
C5,C-USC0805,Top,-60,-32.1,0
C6,C-USC0805,Top,-72.6,-15.6,0
C7,C-USC0805,Top,-41.7,-12.2,0
C8,C-USC0805,Top,-71.9,0.4,180
C9,C-USC0805,Top,-28.32,-25.2,0
C10,C-USC0805,Top,-25.8,-25.2,0
C11,C-USC0805,Top,-47.2,0.5,180
C12,C-USC0805,Top,-49.94,0.5,180
C13,C-USC0805,Top,-43.5,-25.8,0
C14,C-USC0805,Top,-62.5,-32.1,0
C15,C-USC0805,Top,-76.9,-15.6,0
C16,C-USC0805,Top,-68.2,0.6,180
C18,C-USC0805,Top,-44.3,-12.2,0
C19,C-USC0805,Top,-40,-19,0
C20,C-USC0805,Top,-46.8,-29.3,0
C21,C-USC0805,Top,-63.5,0.6,180
C22,C-USC0805,Top,-53.4,0.6,180
C23,C-USC0805,Top,-36.9,-28,0
C24,C-USC0805,Top,-33.09,-28,0
C27,C-USC0805,Top,-39.06,-3.5,180
C28,C-USC0805,Top,-34.8,-3.4,180
C29,C-USC0805,Top,-43.5,-31.8,0
C30,C-USC0805,Top,-24.2,-17,0
C31,C-USC0805,Top,-25.1,-31,90
C32,C-USC0805,Top,-10.8,5.4,90
C105,C-USC0805,Top,-99.4,0.8,180
C106,C-USC0805,Top,-106.3,-8.8,180
C107,C-USC0805,Top,-6.5,-42.4,180
C108,C-USC0805,Top,10.9,-48.2,0
C109,C-USC0805,Top,-77.1,-40.4,90
C110,C-USC0805,Top,-29.1,4.6,90
C111,C-USC0805,Top,-62.1,-58.2,90
C112,C-USC0805,Top,-69.4,-58.3,270
C25,C-USC1206,Top,-52.7,-41.2,0
C26,C-USC1206,Top,-49.4,-41.2,0
C3,Cap_el,Top,-18.13,-6.25,270
Y1,CRYSTAL-3.2-2.5,Top,-50.3,-34.1,90
C17,C_0805,Top,-44.6,-39,0
C36,C_0805,Top,10.3,-39.4,90
C37,C_0805,Top,-13.2,-25.9,90
C38,EEEFK1A221XP,Top,23.47,-29.7,0
C35,EEVEB2C680SM,Top,9.81,-30.23,0
S1,EVQPE505K,Top,-29.8,-14.35,0
S2,EVQPE505K,Top,-84.2,-15.75,180
CONN2,IPS1-115-01-S-D-PL,Top,-6.55,-55.21,0
LD1,LD1117SOT223,Top,-7.5,-3.3,0
LED1,LED0805,Top,-42.33,0.51,0
LED2,LED0805,Top,-21.8,12.2,90
IC6,LM2596S-5.0_NOPB,Top,20.09,-17.98,180
IC7,M24M02-DRMN6TP,Top,-17.98,4.33,0
D1,MBRS540T3G,Top,5.8,-18.4,270
D2,MBRS540T3G,Top,-2.9,-30.6,270
Q1,MMBT3904,Top,-60.5,7.6,0
R1,R-US_R0805,Top,-25.2,-12.2,0
R2,R-US_R0805,Top,-35.5,-21.8,0
R3,R-US_R0805,Top,-35.5,-24.7,0
R4,R-US_R0805,Top,-40.18,-31.8,90
R5,R-US_R0805,Top,-42.2,-3.7,270
R6,R-US_R0805,Top,-52.4,15.2,180
R7,R-US_R0805,Top,-54.5,7.6,0
R8,R-US_R0805,Top,-66.7,13.6,0
R9,R-US_R0805,Top,-66,7.6,180
R10,R-US_R0805,Top,-29.5,12.4,0
R11,R-US_R0805,Top,-29.4,10.2,180
R12,R-US_R0805,Top,-29.4,8,0
R13,R-US_R0805,Top,-22.3,9.9,180
R14,R-US_R0805,Top,-62.5,-51.9,0
R15,R-US_R0805,Top,-62.4,-55,180
R16,R-US_R0805,Top,-69.3,-52.2,180
R17,R-US_R0805,Top,-69.4,-55,0
R18,R-US_R0805,Top,-24.8,-1.6,0
R19,R-US_R0805,Top,-24.9,-4.6,0
R69,R-US_R0805,Top,-97,-1.3,270
R70,R-US_R0805,Top,-102,-1.3,270
R71,R-US_R0805,Top,13.7,-46.1,90
R72,R-US_R0805,Top,8.3,-46.1,90
Y2,RESONATOR_EPSON_FC_145,Top,-36.7,-8.8,0
J2,S8421-45R,Top,9.52,1.3,270
IC3,SN65HVD234,Top,-99.92,-8.8,0
IC4,SN65HVD234,Top,0.48,-42.6,0
IC2,SN74AHCT125D,Top,-76.6,-33.1,0
SJ1,SOLDERJUMPERNC,Top,-66.9,10.8,0
SJ2,SOLDERJUMPERNC,Top,-73.3,-24,0
SJ3,SOLDERJUMPERNC,Top,-4.5,7,0
IC5,ULN2003ADR,Top,-23.48,-40.56,0
Z1,VARISTORCN0603,Top,-31.9,-33.5,0
Z2,VARISTORCN0603,Top,-35.6,-33.5,180
L2,WE-CBF_0805,Top,-42.8,-8,270
L3,WE-CBF_0805,Top,-21.03,-24,270
L4,WE-CBF_0805,Top,-58.6,-0.6,90
L5,WE-CBF_0805,Top,-40.1,-25.7,0
