"Report Written:","Tuesday, December 18, 2018"
"Design Path:","C:\Users\tomde\Documents\GitHub\Tesla-Charger\Charger_Gen2_V4.pcb"
"Design Title:",
"Created:","03-Oct-17 12:16:38 PM"
"Last Saved:","18-Dec-18 12:57:42 PM"
"Editing Time:","2219 min"
"Units:","mm (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"D3","1","1N4148WS-7-F","","SOD2513X120N","Diodes Inc.","1N4148WS-7-F","9228070","","Diode Switching 150mA 75V 200mW SOD323 Diodes Inc 1N4148WS-7-F Switching Diode, 150mA 75V, 2-Pin SOD-323"
"D4","1","1N4148WS-7-F","","SOD2513X120N","Diodes Inc.","1N4148WS-7-F","9228070","","Diode Switching 150mA 75V 200mW SOD323 Diodes Inc 1N4148WS-7-F Switching Diode, 150mA 75V, 2-Pin SOD-323"
"D5","1","1N4148WS-7-F","","SOD2513X120N","Diodes Inc.","1N4148WS-7-F","9228070","","Diode Switching 150mA 75V 200mW SOD323 Diodes Inc 1N4148WS-7-F Switching Diode, 150mA 75V, 2-Pin SOD-323"
"CONN3","1","3WAY_SIL","","DIL","","","","",""
"CONN4","1","4waysil","","DSC","","","","",""
"CONN1","1","24PinJSTCPT","","DSC","","","","",""
"L1","1","7447709470","","WE-PD_1260/1245/1280/121054","Würth Elektronik","7447709470","","","SMD-Shielded Power Inductors WE-PD"
"J1","1","5000751517","","5000751517","Molex","5000751517","","","USB On-The-Go (OTG) Mini-B Receptacle, Vertical, Through Hole Solder Tails and Shell Tabs"
"IC1","1","ATSAM3X/AAU","ATSAM3X8EA-AU","LQFP144","","","","",""
"C2","1","C-USC0805","0.1u","C0805","","","","","CAPACITOR, American symbol"
"C4","1","C-USC0805","0.1u","C0805","","","","","CAPACITOR, American symbol"
"C5","1","C-USC0805","0.1u","C0805","","","","","CAPACITOR, American symbol"
"C6","1","C-USC0805","0.1u","C0805","","","","","CAPACITOR, American symbol"
