"Name","Component","Side","Centre X","Centre Y","Rotation"
"D3","1N4148WS-7-F","Top","-52.40","12.60","0.00"
"D4","1N4148WS-7-F","Top","-71.58","14.70","270.00"
"D5","1N4148WS-7-F","Top","-71.60","9.00","270.00"
"CONN3","3WAY_SIL","Top","-87.60","2.35","180.00"
"CONN4","4waysil","Top","-77.85","-45.45","0.00"
"CONN1","24PinJSTCPT","Top","-99.70","-36.65","270.00"
"L1","7447709470","Top","-8.10","-16.40","0.00"
"J1","5000751517","Top","-35.70","-38.15","0.00"
"IC1","ATSAM3X/AAU","Top","-58.20","-16.00","0.00"
"C1","C-USC0805","Top","-13.00","-4.50","180.00"
"C2","C-USC0805","Top","-42.80","-19.10","0.00"
"C4","C-USC0805","Top","-45.10","-19.00","0.00"
"C5","C-USC0805","Top","-60.00","-32.10","0.00"
"C6","C-USC0805","Top","-72.60","-15.60","0.00"
"C7","C-USC0805","Top","-41.70","-12.20","0.00"
"C8","C-USC0805","Top","-71.90","0.40","180.00"
"C9","C-USC0805","Top","-28.32","-25.20","0.00"
"C10","C-USC0805","Top","-25.80","-25.20","0.00"
"C11","C-USC0805","Top","-47.20","0.50","180.00"
"C12","C-USC0805","Top","-49.94","0.50","180.00"
"C13","C-USC0805","Top","-43.50","-25.80","0.00"
"C14","C-USC0805","Top","-62.50","-32.10","0.00"
"C15","C-USC0805","Top","-76.90","-15.60","0.00"
"C16","C-USC0805","Top","-68.20","0.60","180.00"
"C18","C-USC0805","Top","-44.30","-12.20","0.00"
"C19","C-USC0805","Top","-40.00","-19.00","0.00"
"C20","C-USC0805","Top","-46.80","-29.30","0.00"
"C21","C-USC0805","Top","-63.50","0.60","180.00"
"C22","C-USC0805","Top","-53.40","0.60","180.00"
"C23","C-USC0805","Top","-36.90","-28.00","0.00"
"C24","C-USC0805","Top","-33.09","-28.00","0.00"
"C27","C-USC0805","Top","-39.06","-3.50","180.00"
"C28","C-USC0805","Top","-34.80","-3.40","180.00"
"C29","C-USC0805","Top","-43.50","-31.80","0.00"
"C30","C-USC0805","Top","-24.20","-17.00","0.00"
"C31","C-USC0805","Top","-25.10","-31.00","90.00"
"C32","C-USC0805","Top","-10.80","5.40","90.00"
"C105","C-USC0805","Top","-99.40","0.80","180.00"
"C106","C-USC0805","Top","-106.30","-8.80","180.00"
